originl query	freq	CPP detector and converter				JS detector and converter							
မန္လိုးကာသစ္	5	1	မန်လိုးကာသစ်	diff	Z	0.9999999755	မန်လိုးကာသစ်	diff	Z	same	same		
လိဳးကား	5	0.9999	လိုးကား	diff	Z	0.9999995839	လိုးကား	diff	Z	same	same		
ထိုင္းလူငယ္	5	1	ထိုင်းလူငယ်	diff	Z	1	ထိုင်းလူငယ်	diff	Z	same	same		
အာဇာနည္ သီခ်င္းမ်ား	5	1	အာဇာနည် သီချင်းများ	diff	Z	1	အာဇာနည် သီချင်းများ	diff	Z	same	same		
ဂီတာေဖဝင္း	5	1	ဂီတာဖေဝင်း	diff	Z	1	ဂီတာဖေဝင်း	diff	Z	same	same		
လိင္တံ	5	0.994	လိင်တံ	diff	Z	0.9999851942	လိင်တံ	diff	Z	same	same		
လlေဝင်ဇာတ်	5	6.10E-07	လlဝေငျဇာတျ	diff	U	0.00000936031133	လlဝေငျဇာတျ	diff	U	same	same		
ဖုန္​းနည္​းပညာ	5	1	ဖုန်းနည်းပညာ	diff	Z	0.9999999995	ဖုန်းနည်းပညာ	diff	Z	same	same		
အနႏၲတန္ခိုးရွင္ဘုရားသခင္	5	1	အနန္တတန်ခိုးရှင်ဘုရားသခင်	diff	Z	1	အနန္တတန်ခိုးရှင်ဘုရားသခင်	diff	Z	same	same		
15မိနစ္​​ေက်ာ္​ရင္​အလိုလိုလြမ္​းလာတယ္​	5	1	15မိနစ်​​ကျော်​ရင်​အလိုလိုလွမ်းလာတယ်​	diff	Z	1	15မိနစ်​​ကျော်​ရင်​အလိုလိုလွမ်းလာတယ်​	diff	Z	same	same		
ျသစာအုပ္	5	0.9999	သြစာအုပ်	diff	Z	0.9999999945	သြစာအုပ်	diff	Z	same	same		
ဘဝ​နေနည်း	5	0.0001209	ဘဝ​နနေညျး	diff	U	0.0009943609972	ဘဝ​နနေညျး	diff	U	same	same		
ာစ	5	0.4455	ာစ	same	I	0.9763149617	ာစ	same	Z	diff	same		
ꨅꨯꨤꨯးလꨤဝ္သ္ꨮ75	5	0.997	ꨅꨯꨤꨯးလꨤဝ်သ်ꨮ75	diff	Z	0.9999999999	ꨅꨯꨤꨯးလꨤဝ်သ်ꨮ75	diff	Z	same	same		
အျပာ႐ုပ္ျပစာအုပ္	5	1	အပြာရုပ်ပြစာအုပ်	diff	Z	1	အပြာရုပ်ပြစာအုပ်	diff	Z	same	same		
PSI လိုင္းထည့္နည္း 2018	5	1	PSI လိုင်းထည့်နည်း 2018	diff	Z	1	PSI လိုင်းထည့်နည်း 2018	diff	Z	same	same		
စ္	5	0.999	စ်	diff	Z	0.9998192164	စ်	diff	Z	same	same		
ဖူစာအုပ္မ်ား	5	0.9987	ဖူစာအုပ်များ	diff	Z	0.9999999966	ဖူစာအုပ်များ	diff	Z	same	same		
ေဒါက္တာညိဳႀကီး	5	1	ဒေါက်တာညိုကြီး	diff	Z	1	ဒေါက်တာညိုကြီး	diff	Z	same	same		
ဖူးပေဒသာ	5	0.996	ဖူးပဒေသာ	diff	Z	0.9990398873	ဖူးပဒေသာ	diff	Z	same	same		
​ေအာကားအသစ္​	5	1	​အောကားအသစ်​	diff	Z	0.9999998701	​အောကားအသစ်​	diff	Z	same	same		
အျပာစာမ်ားဖတ္ရန္	5	1	အပြာစာများဖတ်ရန်	diff	Z	1	အပြာစာများဖတ်ရန်	diff	Z	same	same		
ဇြန္တင္ဇာ	5	0.9911	ဇွန်တင်ဇာ	diff	Z	0.9999999979	ဇွန်တင်ဇာ	diff	Z	same	same		
ျမန္မာေခ်ာင္းရုိက္လိုးကား	5	1	မြန်မာချောင်းရိုက်လိုးကား	diff	Z	1	မြန်မာချောင်းရိုက်လိုးကား	diff	Z	same	same		
အကိတ္ႀကီး	5	0.9999	အကိတ်ကြီး	diff	Z	0.999999979	အကိတ်ကြီး	diff	Z	same	same		
ဖိုးကာ mp3	5	0.7849	ဖိုးကာ mp3	same	I	0.7602065798	ဖိုးကာ mp3	same	I	same	same		
​ေရသူမ	5	0.9999	​ရေသူမ	diff	Z	0.999930196	​ရေသူမ	diff	Z	same	same		
အရိေမတၱယ်ျမက္စြာဖုရားတရားေတာ္	5	1	အရိမေတ္တယျမြက်စွာဖုရားတရားတော်	diff	Z	1	အရိမေတ္တယျမြက်စွာဖုရားတရားတော်	diff	Z	same	same		
သီခ်င္း mp3	5	1	သီချင်း mp3	diff	Z	1	သီချင်း mp3	diff	Z	same	same		
ဦးဘုန္း ဓာတု	5	0.9992	ဦးဘုန်း ဓာတု	diff	Z	0.9999245619	ဦးဘုန်း ဓာတု	diff	Z	same	same		
လုိကားxxxx	5	0.9991	လိုကားxxxx	diff	Z	0.9999536661	လိုကားxxxx	diff	Z	same	same		
နေမာေတ	5	0.998	နမောတေ	diff	Z	0.9993659012	နမောတေ	diff	Z	same	same		
TZသတင္းစံု	5	1	TZသတင်းစုံ	diff	Z	1	TZသတင်းစုံ	diff	Z	same	same		
လိုုကား	5	0.9953	လိုကား	diff	Z	0.9999845444	လိုကား	diff	Z	same	same		
ဇာတ္ထုတ္မ်ား	5	1	ဇာတ်ထုတ်များ	diff	Z	0.9999999998	ဇာတ်ထုတ်များ	diff	Z	same	same		
အထူးကား	5	0.9706	အထူးကား	same	Z	0.9713959229	အထူးကား	same	Z	same	same		
ကုိရီးယားsex	5	0.9998	ကိုရီးယားsex	diff	Z	0.9997861164	ကိုရီးယားsex	diff	Z	same	same		
​ေရႊမံုရတီ	5	1	​ရွှေမုံရတီ	diff	Z	0.9999999955	​ရွှေမုံရတီ	diff	Z	same	same		
ခခခ	5	0.9941	ခခခ	same	Z	0.999941979	ခခခ	same	Z	same	same		
ျမန္​မာဇာတ္​ကား​ေကာင္​းမ်ား	5	1	မြန်​မာဇာတ်​ကား​ကောင်းများ	diff	Z	1	မြန်​မာဇာတ်​ကား​ကောင်းများ	diff	Z	same	same		
ျမန္​မာchat xnxx	5	1	မြန်​မာchat xnxx	diff	Z	0.9999999885	မြန်​မာchat xnxx	diff	Z	same	same		
ေစးေစး	5	1	စေးစေး	diff	Z	1	စေးစေး	diff	Z	same	same		
ျမနငးး	5	0.9981	မြနငးး	diff	Z	0.9999999703	မြနငးး	diff	Z	same	same		
သားေခ်ာ့ေတး	5	1	သားချော့တေး	diff	Z	1	သားချော့တေး	diff	Z	same	same		
ဝတ္မွုန္ေရႊရည္	5	1	ဝတ်မှုန်ရွှေရည်	diff	Z	1	ဝတ်မှုန်ရွှေရည်	diff	Z	same	same		
ႏွားေခါင္းအတြင္းေသြးေၾကာထံုးျခင္း	5	1	နှားခေါင်းအတွင်းသွေးကြောထုံးခြင်း	diff	Z	1	နှားခေါင်းအတွင်းသွေးကြောထုံးခြင်း	diff	Z	same	same		
သဇင္လိုးကားမ်ား	5	1	သဇင်လိုးကားများ	diff	Z	1	သဇင်လိုးကားများ	diff	Z	same	same		
ခိုင္ရဲကို music	5	1	ခိုင်ရဲကို music	diff	Z	0.9999990341	ခိုင်ရဲကို music	diff	Z	same	same		
ျမန္မာဇာက္ကားသစ္	5	1	မြန်မာဇာက်ကားသစ်	diff	Z	1	မြန်မာဇာက်ကားသစ်	diff	Z	same	same		
ျမန္​မာ​ေအာ XxX ဖုကား	5	1	မြန်​မာ​အော XxX ဖုကား	diff	Z	1	မြန်​မာ​အော XxX ဖုကား	diff	Z	same	same		
ေဘာပြဲ	5	1	ဘောပွဲ	diff	Z	0.9999955038	ဘောပွဲ	diff	Z	same	same		
ရင္ကြဲနာ ရဲရင့္ေအာင္	5	1	ရင်ကွဲနာ ရဲရင့်အောင်	diff	Z	1	ရင်ကွဲနာ ရဲရင့်အောင်	diff	Z	same	same		
ေနတိုးဟာသ	5	1	နေတိုးဟာသ	diff	Z	0.9999973483	နေတိုးဟာသ	diff	Z	same	same		
eleven အားကစားဂ်ာနယ္	5	1	eleven အားကစားဂျာနယ်	diff	Z	1	eleven အားကစားဂျာနယ်	diff	Z	same	same		
ဟန္ေဆာင္ကာမူပို	5	1	ဟန်ဆောင်ကာမူပို	diff	Z	1	ဟန်ဆောင်ကာမူပို	diff	Z	same	same		
သမ​ေနာသီခ်င္​း	5	1	သမ​နောသီချင်း	diff	Z	1	သမ​နောသီချင်း	diff	Z	same	same		
ႀကက္ေမြးျမဴေရး	5	1	ကြက်မွေးမြူရေး	diff	Z	1	ကြက်မွေးမြူရေး	diff	Z	same	same		
ျမန္​မာ​ေရခ်ိဳး​ေခ်ာင္​း႐ိုက္​	5	1	မြန်​မာ​ရေချိုး​ချောင်းရိုက်​	diff	Z	1	မြန်​မာ​ရေချိုး​ချောင်းရိုက်​	diff	Z	same	same		
ေမသက္ခုိင္ေအာကား	5	1	မေသက်ခိုင်အောကား	diff	Z	1	မေသက်ခိုင်အောကား	diff	Z	same	same		
တ၇ားေတာ္မ်ား download	5	1	တ၇ားတော်များ download	diff	Z	1	တ၇ားတော်များ download	diff	Z	same	same		
အိမ္ပုံ	5	0.06768	အိမ်ပုံ	diff	I	0.6503269639	အိမ်ပုံ	diff	I	same	same		
အင္းဆက္	5	1	အင်းဆက်	diff	Z	1	အင်းဆက်	diff	Z	same	same		
အားရေအာင္လိုး	5	0.9998	အားရအောင်လိုး	diff	Z	0.9999982047	အားရအောင်လိုး	diff	Z	same	same		
မင္းသုဝဏ္ စာအုပ္မ်ား	5	1	မင်းသုဝဏ် စာအုပ်များ	diff	Z	1	မင်းသုဝဏ် စာအုပ်များ	diff	Z	same	same		
09799746693ဧူးဧူူ	5	0.8316	09799746693ဧူးဧူ	diff	I	0.9999918407	09799746693ဧူးဧူ	diff	Z	diff	same		
မြန်မာ​အောကား	5	2.91E-06	မွနျမာ​အောကား	diff	U	4.29E-07	မွနျမာ​အောကား	diff	U	same	same		
ပုလဲဝင္းလိုးကား	5	1	ပုလဲဝင်းလိုးကား	diff	Z	0.9999999997	ပုလဲဝင်းလိုးကား	diff	Z	same	same		
မိန္းမတို့အေျကာင္း mp3	5	1	မိန်းမတို့အကြောင်း mp3	diff	Z	1	မိန်းမတို့အကြောင်း mp3	diff	Z	same	same		
စအို	5	0.1214	စအို	same	I	0.4951597772	စအို	same	I	same	same		
microsoft office powerpoint သင္းနည္း	5	1	microsoft office powerpoint သင်းနည်း	diff	Z	1	microsoft office powerpoint သင်းနည်း	diff	Z	same	same		
ကေလးတို့ရြာ	5	0.4201	ကလေးတို့ရွာ	diff	I	0.9999950467	ကလေးတို့ရွာ	diff	Z	diff	same		
ေဒါက္တာေဇာ္လီး	5	1	ဒေါက်တာဇော်လီး	diff	Z	1	ဒေါက်တာဇော်လီး	diff	Z	same	same		
ျမန္္မာေခ်ာင္းရိုက္	5	1	မြန်မာချောင်းရိုက်	diff	Z	1	မြန်မာချောင်းရိုက်	diff	Z	same	same		
လိုးကား18 japan	5	0.8424	လိုးကား18 japan	same	I	0.9257125755	လိုးကား18 japan	same	I	same	same		
ျမန္မာသီခ်င္းdownload mp3	5	1	မြန်မာသီချင်းdownload mp3	diff	Z	1	မြန်မာသီချင်းdownload mp3	diff	Z	same	same		
မင္းလြင္မုိး	5	1	မင်းလွင်မိုး	diff	Z	1	မင်းလွင်မိုး	diff	Z	same	same		
အသည္းေရာင္	5	1	အသည်းရောင်	diff	Z	1	အသည်းရောင်	diff	Z	same	same		
ျမန္​မာစစ္​ကားမ်ား	5	1	မြန်​မာစစ်​ကားများ	diff	Z	1	မြန်​မာစစ်​ကားများ	diff	Z	same	same		
လက္​သမားအ​ေခၚအ​ေဝၚမ်ား	5	1	လက်​သမားအ​ခေါ်အ​ဝေါ်များ	diff	Z	1	လက်​သမားအ​ခေါ်အ​ဝေါ်များ	diff	Z	same	same		
HIV​ေရာဂါ	5	0.9982	HIV​ရောဂါ	diff	Z	0.9997481465	HIV​ရောဂါ	diff	Z	same	same		
အခ်စ္ေစတမာန္	5	1	အချစ်စေတမာန်	diff	Z	1	အချစ်စေတမာန်	diff	Z	same	same		
မနော ချစ်တယ် download	5	6.25E-15	မနော ခစျြတယျ download	diff	U	4.95E-16	မနော ခစျြတယျ download	diff	U	same	same		
စိတ္ပူတယ္	5	1	စိတ်ပူတယ်	diff	Z	0.9999999992	စိတ်ပူတယ်	diff	Z	same	same		
ကာမ ပေထြး	5	0.9899	ကာမ ပထွေး	diff	Z	0.9999997669	ကာမ ပထွေး	diff	Z	same	same		
နႏၵာလႈိင္ www.xnxx.com	5	1	နန္ဒာလှိုင် www.xnxx.com	diff	Z	1	နန္ဒာလှိုင် www.xnxx.com	diff	Z	same	same		
ကာဒါရွီရန္	5	1	ကာဒါရှီရန်	diff	Z	0.9999998784	ကာဒါရှီရန်	diff	Z	same	same		
အျပာကားb6eq/	5	1	အပြာကားb6eq/	diff	Z	0.9999999893	အပြာကားb6eq/	diff	Z	same	same		
သင္ဇာဝင္႔ေက်ာ္	5	1	သင်ဇာဝင့်ကျော်	diff	Z	1	သင်ဇာဝင့်ကျော်	diff	Z	same	same		
လူသတ္ကား	5	0.9532	လူသတ်ကား	diff	Z	0.9993268975	လူသတ်ကား	diff	Z	same	same		
ယမင္းအိေျန	5	1	ယမင်းအိနြေ	diff	Z	1	ယမင်းအိနြေ	diff	Z	same	same		
ပုိးအိစံ mp3 download	5	0.9999	ပိုးအိစံ mp3 download	diff	Z	0.9999999462	ပိုးအိစံ mp3 download	diff	Z	same	same		
သ်ွမ	5	0.9619	သျှမ	diff	Z	0.9987406624	သျှမ	diff	Z	same	same		
သိုင္း	5	1	သိုင်း	diff	Z	0.9999998004	သိုင်း	diff	Z	same	same		
wifi password ခိုးနည္း	5	1	wifi password ခိုးနည်း	diff	Z	0.9999997198	wifi password ခိုးနည်း	diff	Z	same	same		
​ျမန္​မာ​ေအာကားမ်ား	5	1	​မြန်​မာ​အောကားများ	diff	Z	1	​မြန်​မာ​အောကားများ	diff	Z	same	same		
အပြာစာ	5	0.1241	အပွာစာ	diff	I	0.2486322946	အပွာစာ	diff	I	same	same		
မိသာစုကေတာ့ပြဲ	5	0.9574	မိသာစုကတော့ပွဲ	diff	Z	0.9995440773	မိသာစုကတော့ပွဲ	diff	Z	same	same		
ျမန္မာစကားပံု	5	1	မြန်မာစကားပုံ	diff	Z	1	မြန်မာစကားပုံ	diff	Z	same	same		
ေအာကာေပါင္စံု	5	1	အောကာပေါင်စုံ	diff	Z	1	အောကာပေါင်စုံ	diff	Z	same	same		
ကုလားလီးျကီးျကီး	5	0.9699	ကုလားလီးကြီးကြီး	diff	Z	0.9999997682	ကုလားလီးကြီးကြီး	diff	Z	same	same		
နန္းတြင္းသမားေတာ္	5	1	နန်းတွင်းသမားတော်	diff	Z	1	နန်းတွင်းသမားတော်	diff	Z	same	same		
ျမန္မာ2018	5	1	မြန်မာ2018	diff	Z	0.9999993195	မြန်မာ2018	diff	Z	same	same		
အဝတ္​အစားဝတ္​ပံု	5	1	အဝတ်​အစားဝတ်​ပုံ	diff	Z	1	အဝတ်​အစားဝတ်​ပုံ	diff	Z	same	same		
ကိုးရီးယားလိုးကားမ်ား	5	1	ကိုးရီးယားလိုးကားများ	diff	Z	0.9999990454	ကိုးရီးယားလိုးကားများ	diff	Z	same	same		
အခုအပတ္ေပးပါ	5	1	အခုအပတ်ပေးပါ	diff	Z	1	အခုအပတ်ပေးပါ	diff	Z	same	same		
ဇြန္ပန္း	5	0.9998	ဇွန်ပန်း	diff	Z	0.9999999996	ဇွန်ပန်း	diff	Z	same	same		
တပတ္ရစ္တီဗီေစ်းကြက္	5	1	တပတ်ရစ်တီဗီဈေးကွက်	diff	Z	1	တပတ်ရစ်တီဗီဈေးကွက်	diff	Z	same	same		
သမီးနဲ႔ဦး	5	0.9568	သမီးနဲ့ဦး	diff	Z	0.9375785023	သမီးနဲ့ဦး	diff	I	diff	same		
ပံုမ်ား	5	1	ပုံများ	diff	Z	0.9999999979	ပုံများ	diff	Z	same	same		
ျမန္မာေဖာက္	5	1	မြန်မာဖောက်	diff	Z	1	မြန်မာဖောက်	diff	Z	same	same		
2D3Dအ	5	0.899	2D3Dအ	same	I	0.9525739114	2D3Dအ	same	Z	diff	same		
ေဟာ့ေပါ့	5	1	ဟော့ပေါ့	diff	Z	0.999999993	ဟော့ပေါ့	diff	Z	same	same		
lလြန္း၀ါ ခ်စ္သူ	5	1	lလွန်းဝါ ချစ်သူ	diff	Z	1	lလွန်းဝါ ချစ်သူ	diff	Z	same	same		
internet download manager ေဒါင္း	5	1	internet download manager ဒေါင်း	diff	Z	1	internet download manager ဒေါင်း	diff	Z	same	same		
မြန္ေလးဟာသ	5	0.9999	မွန်လေးဟာသ	diff	Z	0.9999999937	မွန်လေးဟာသ	diff	Z	same	same		
voaျမန္မာသတင္း	5	1	voaမြန်မာသတင်း	diff	Z	1	voaမြန်မာသတင်း	diff	Z	same	same		
စိုးစႏၵာထြန္း	5	1	စိုးစန္ဒာထွန်း	diff	Z	1	စိုးစန္ဒာထွန်း	diff	Z	same	same		
ေဘ	5	0.9999	ဘေ	diff	Z	0.9999966717	ဘေ	diff	Z	same	same		
လျပည့္	5	1	လပြည့်	diff	Z	0.9999999975	လပြည့်	diff	Z	same	same		
ျမရတနာရုံရွင္ရုံဖုန္း	5	1	မြရတနာရုံရှင်ရုံဖုန်း	diff	Z	1	မြရတနာရုံရှင်ရုံဖုန်း	diff	Z	same	same		
myanmarဖူးကား	5	0.721	myanmarဖူးကား	same	I	0.9680521985	myanmarဖူးကား	same	Z	diff	same		
အျပာေရာင္လြင္ျပင္	5	1	အပြာရောင်လွင်ပြင်	diff	Z	1	အပြာရောင်လွင်ပြင်	diff	Z	same	same		
၊၊၊	5	0.1883	၊၊၊	same	I	0.2238976103	၊၊၊	same	I	same	same		
အျပာpdf	5	1	အပြာpdf	diff	Z	0.999999918	အပြာpdf	diff	Z	same	same		
ျမန္မာ ေအာ.com	5	1	မြန်မာ အော.com	diff	Z	1	မြန်မာ အော.com	diff	Z	same	same		
ပထဝီ	5	0.01394	ပထဝီ	same	U	0.1648094467	ပထဝီ	same	I	diff	same		
အတြဲေခ်ာင္း	5	1	အတွဲချောင်း	diff	Z	1	အတွဲချောင်း	diff	Z	same	same		
ျမန္မာစာတန္းထိုး ေအာကားမ်ား	5	1	မြန်မာစာတန်းထိုး အောကားများ	diff	Z	1	မြန်မာစာတန်းထိုး အောကားများ	diff	Z	same	same		
သီခ်င္​း download	5	1	သီချင်း download	diff	Z	0.9999999992	သီချင်း download	diff	Z	same	same		
ျကက္	5	0.9997	ကြက်	diff	Z	0.9999994639	ကြက်	diff	Z	same	same		
face bookခ်ိတ္ဆက္မည္	5	1	face bookချိတ်ဆက်မည်	diff	Z	1	face bookချိတ်ဆက်မည်	diff	Z	same	same		
စစ္သူရဲေကာင္းနွင့္ေရႊေရာင္ဓား	5	1	စစ်သူရဲကောင်းနှင့်ရွှေရောင်ဓား	diff	Z	1	စစ်သူရဲကောင်းနှင့်ရွှေရောင်ဓား	diff	Z	same	same		
မြန္​ျမာစာလုံး	5	1	မွန်​မြာစာလုံး	diff	Z	0.9995432482	မွန်​မြာစာလုံး	diff	Z	same	same		
ဘာျမဴဒါ	5	0.9998	ဘာမြူဒါ	diff	Z	0.99999999	ဘာမြူဒါ	diff	Z	same	same		
လူမိုက္တစ္ေထာင္ငါတစ္ေယာက္	5	1	လူမိုက်တစ်ထောင်ငါတစ်ယောက်	diff	Z	1	လူမိုက်တစ်ထောင်ငါတစ်ယောက်	diff	Z	same	same		
အမ်ိဳးသားအ​ေၾကာသန္​လိမ္​း​ေဆး	5	1	အမျိုးသားအ​ကြောသန်​လိမ်း​ဆေး	diff	Z	1	အမျိုးသားအ​ကြောသန်​လိမ်း​ဆေး	diff	Z	same	same		
ဒေါင်းလုဒ်	5	3.42E-11	ဒေါငျးလုဒျ	diff	U	2.70E-13	ဒေါငျးလုဒျ	diff	U	same	same		
ျကမ္းျကမ္းလိုးကား	5	1	ကြမ်းကြမ်းလိုးကား	diff	Z	1	ကြမ်းကြမ်းလိုးကား	diff	Z	same	same		
မေနား ဒိုင္ယာရီအမွတ္၃	5	1	မနေား ဒိုင်ယာရီအမှတ်၃	diff	Z	1	မနေား ဒိုင်ယာရီအမှတ်၃	diff	Z	same	same		
ဖင္​​ေထာင္​လိုး	5	1	ဖင်​​ထောင်​လိုး	diff	Z	1	ဖင်​​ထောင်​လိုး	diff	Z	same	same		
နံနံပင္စိုက္နည္း	5	1	နံနံပင်စိုက်နည်း	diff	Z	1	နံနံပင်စိုက်နည်း	diff	Z	same	same		
မင္းရာဇာ	5	1	မင်းရာဇာ	diff	Z	0.9999999956	မင်းရာဇာ	diff	Z	same	same		
မဂၤလာ​ေဆာင္​ ဖိတ္​စာdesigns	5	1	မင်္ဂလာ​ဆောင်​ ဖိတ်​စာdesigns	diff	Z	1	မင်္ဂလာ​ဆောင်​ ဖိတ်​စာdesigns	diff	Z	same	same		
ရာမ်ချာရန်တေ့(ချ်)	5	4.19E-17	ရာမျခြာရနျတေ့(ချြ)	diff	U	7.13E-22	ရာမျခြာရနျတေ့(ချြ)	diff	U	same	same		
၁၈ videos movie	5	-inf	၁၈ videos movie	same	Z	-Infinity	၁၈ videos movie	same	Z	same	same		
ဗညာဟန္ ၀ါက်ြတ္ပြဲ	5	1	ဗညာဟန် ၀ါကျွတ်ပွဲ	diff	Z	1	ဗညာဟန် ၀ါကျွတ်ပွဲ	diff	Z	same	same		
တအားလုိး​ေပး	5	1	တအားလိုး​ပေး	diff	Z	1	တအားလိုး​ပေး	diff	Z	same	same		
ခ app	5	0.5066	ခ app	same	I	0.7576987432	ခ app	same	I	same	same		
ဖူးပ​ေဒသာ	5	1	ဖူးပ​ဒေသာ	diff	Z	0.999996954	ဖူးပ​ဒေသာ	diff	Z	same	same		
အဂၤလိပ္သီခ်င္း	5	1	အင်္ဂလိပ်သီချင်း	diff	Z	1	အင်္ဂလိပ်သီချင်း	diff	Z	same	same		
မုိးညွင္းသမၺဳေဒၶ	5	1	မိုးညှင်းသမ္ဗုဒ္ဓေ	diff	Z	1	မိုးညှင်းသမ္ဗုဒ္ဓေ	diff	Z	same	same		
ညီညီေမာင္	5	1	ညီညီမောင်	diff	Z	1	ညီညီမောင်	diff	Z	same	same		
ကိုးရီးယားအခ်စ္​	5	1	ကိုးရီးယားအချစ်​	diff	Z	0.9999852506	ကိုးရီးယားအချစ်​	diff	Z	same	same		
စိုင္​းစိုင္​ေမာဝ္​mp4 download	5	1	စိုင်းစိုင်​မောဝ်​mp4 download	diff	Z	1	စိုင်းစိုင်​မောဝ်​mp4 download	diff	Z	same	same		
ထူးအိမ္သင္ အမုန္းမ်က္လံုး	5	1	ထူးအိမ်သင် အမုန်းမျက်လုံး	diff	Z	1	ထူးအိမ်သင် အမုန်းမျက်လုံး	diff	Z	same	same		
ျမန္​မာ​ေနထူူႏုိင္​	5	1	မြန်​မာ​နေထူနိုင်​	diff	Z	1	မြန်​မာ​နေထူနိုင်​	diff	Z	same	same		
ျမတ္​	5	1	မြတ်​	diff	Z	0.9999999902	မြတ်​	diff	Z	same	same		
ျမန္မာစာတန္းထုိး movie sbs	5	1	မြန်မာစာတန်းထိုး movie sbs	diff	Z	1	မြန်မာစာတန်းထိုး movie sbs	diff	Z	same	same		
မိုအားနာ	5	0.2573	မိုအားနာ	same	I	0.872840278	မိုအားနာ	same	I	same	same		
ကို့ရီးယားလိုးကား	5	0.1467	ကို့ရီးယားလိုးကား	same	I	0.006652384521	ကို့ရီးယားလိုးကား	same	U	diff	same		
video​ေအာကား	5	0.9999	video​အောကား	diff	Z	0.9997714344	video​အောကား	diff	Z	same	same		
၇င​ြ	5	0.9677	၇ငွ	diff	Z	0.9871564966	၇ငွ	diff	Z	same	same		
ပရာဘတ်စ်	5	7.95E-10	ပရာဘတျဈ	diff	U	0.000001727073008	ပရာဘတျဈ	diff	U	same	same		
အာရီယာနာ ဂရန်ဒီ	5	3.29E-05	အာရီယာနာ ဂရနျဒီ	diff	U	0.00001351245955	အာရီယာနာ ဂရနျဒီ	diff	U	same	same		
hdေအာကား	5	0.9999	hdအောကား	diff	Z	0.9999932836	hdအောကား	diff	Z	same	same		
ဖယ္ကာအို	5	0.9891	ဖယ်ကာအို	diff	Z	0.9999692802	ဖယ်ကာအို	diff	Z	same	same		
အလင္းသစ္	5	1	အလင်းသစ်	diff	Z	1	အလင်းသစ်	diff	Z	same	same		
ဝိုင္းေလး တာဝန္အရေတာ့ လြမ္းေပးပါ guitar chords	5	1	ဝိုင်းလေး တာဝန်အရတော့ လွမ်းပေးပါ guitar chords	diff	Z	1	ဝိုင်းလေး တာဝန်အရတော့ လွမ်းပေးပါ guitar chords	diff	Z	same	same		
tz သတင်းစုံ download app	5	8.59E-06	tz သတငျးစုံ download app	diff	U	0.000001835184371	tz သတငျးစုံ download app	diff	U	same	same		
ဗြီဒီယုိပြင့္ေပးပါ	5	1	ဗွီဒီယိုပွင့်ပေးပါ	diff	Z	1	ဗွီဒီယိုပွင့်ပေးပါ	diff	Z	same	same		
ျမင့္ျမဆ္	5	1	မြင့်မြဆ်	diff	Z	1	မြင့်မြဆ်	diff	Z	same	same		
မ်ိုးႀကီးသီခ်င္းမ်ား	5	1	မျိုးကြီးသီချင်းများ	diff	Z	1	မျိုးကြီးသီချင်းများ	diff	Z	same	same		
သူထူးစံ	5	0.9276	သူထူးစံ	same	I	0.9880143606	သူထူးစံ	same	Z	diff	same		
ပုလဲရွန္	5	0.9998	ပုလဲရှန်	diff	Z	0.9999820496	ပုလဲရှန်	diff	Z	same	same		
ျမန္မာေစာက္ဖုတ္နဳိက္	5	1	မြန်မာစောက်ဖုတ်နိုက်	diff	Z	1	မြန်မာစောက်ဖုတ်နိုက်	diff	Z	same	same		
လိင္ ဆက္ဆံ video	5	1	လိင် ဆက်ဆံ video	diff	Z	0.9999999997	လိင် ဆက်ဆံ video	diff	Z	same	same		
ေကာအား	5	0.9998	ကောအား	diff	Z	0.9999957358	ကောအား	diff	Z	same	same		
ပုဇြန္	5	0.9536	ပုဇွန်	diff	Z	0.999999635	ပုဇွန်	diff	Z	same	same		
ဝင္​းသ​ေျပထြန္​း	5	1	ဝင်းသ​ပြေထွန်း	diff	Z	1	ဝင်းသ​ပြေထွန်း	diff	Z	same	same		
xxxကိုရီးယား	5	0.7067	xxxကိုရီးယား	same	I	0.2467960642	xxxကိုရီးယား	same	I	same	same		
တရုတ္ရိုးရာ ေအာကား	5	1	တရုတ်ရိုးရာ အောကား	diff	Z	0.9999999995	တရုတ်ရိုးရာ အောကား	diff	Z	same	same		
ေဝဠဳေက်ာ္	5	1	ဝေဠုကျော်	diff	Z	1	ဝေဠုကျော်	diff	Z	same	same		
​ေက​်ာက္​ဆည္​အတြဲ	5	1	​ကျောက်​ဆည်​အတွဲ	diff	Z	1	​ကျောက်​ဆည်​အတွဲ	diff	Z	same	same		
နေသည်	5	5.02E-05	နသေညျ	diff	U	0.00002406793284	နသေညျ	diff	U	same	same		
မေနာ ခ်စ္တယ္ mp3 download	5	1	မနော ချစ်တယ် mp3 download	diff	Z	1	မနော ချစ်တယ် mp3 download	diff	Z	same	same		
ပဌာန္း mp3	5	0.9919	ပဌာန်း mp3	diff	Z	0.9999952166	ပဌာန်း mp3	diff	Z	same	same		
သက္ထား	5	0.9983	သက်ထား	diff	Z	0.9984676301	သက်ထား	diff	Z	same	same		
​ေျမာင္​​ေျမာင္​	5	1	​မြောင်​​မြောင်​	diff	Z	1	​မြောင်​​မြောင်​	diff	Z	same	same		
ဝိုင္​းစုခိုင္​သိန္​း စိတ္​ပူတယ္​	5	1	ဝိုင်းစုခိုင်​သိန်း စိတ်​ပူတယ်​	diff	Z	1	ဝိုင်းစုခိုင်​သိန်း စိတ်​ပူတယ်​	diff	Z	same	same		
